filename,class,split,width,height,format,file_size_bytes,source_path,processed_path
Arborio (8901).jpg,Arborio,train,250,250,JPEG,3517,F:\grainvision-ai\ml\dataset\raw\Arborio\Arborio (8901).jpg,F:\grainvision-ai\ml\dataset\processed\train\Arborio\Arborio (8901).jpg
Arborio (8070).jpg,Arborio,train,250,250,JPEG,3509,F:\grainvision-ai\ml\dataset\raw\Arborio\Arborio (8070).jpg,F:\grainvision-ai\ml\dataset\processed\train\Arborio\Arborio (8070).jpg
Arborio (12607).jpg,Arborio,train,250,250,JPEG,3490,F:\grainvision-ai\ml\dataset\raw\Arborio\Arborio (12607).jpg,F:\grainvision-ai\ml\dataset\processed\train\Arborio\Arborio (12607).jpg
Arborio (7414).jpg,Arborio,train,250,250,JPEG,3545,F:\grainvision-ai\ml\dataset\raw\Arborio\Arborio (7414).jpg,F:\grainvision-ai\ml\dataset\processed\train\Arborio\Arborio (7414).jpg
Arborio (14039).jpg,Arborio,train,250,250,JPEG,3783,F:\grainvision-ai\ml\dataset\raw\Arborio\Arborio (14039).jpg,F:\grainvision-ai\ml\dataset\processed\train\Arborio\Arborio (14039).jpg
Arborio (6182).jpg,Arborio,train,250,250,JPEG,3378,F:\grainvision-ai\ml\dataset\raw\Arborio\Arborio (6182).jpg,F:\grainvision-ai\ml\dataset\processed\train\Arborio\Arborio (6182).jpg
Arborio (126).jpg,Arborio,train,250,250,JPEG,3437,F:\grainvision-ai\ml\dataset\raw\Arborio\Arborio (126).jpg,F:\grainvision-ai\ml\dataset\processed\train\Arborio\Arborio (126).jpg
Arborio (14655).jpg,Arborio,train,250,250,JPEG,3601,F:\grainvision-ai\ml\dataset\raw\Arborio\Arborio (14655).jpg,F:\grainvision-ai\ml\dataset\processed\train\Arborio\Arborio (14655).jpg
Arborio (1297).jpg,Arborio,train,250,250,JPEG,3801,F:\grainvision-ai\ml\dataset\raw\Arborio\Arborio (1297).jpg,F:\grainvision-ai\ml\dataset\processed\train\Arborio\Arborio (1297).jpg
Arborio (12781).jpg,Arborio,train,250,250,JPEG,3503,F:\grainvision-ai\ml\dataset\raw\Arborio\Arborio (12781).jpg,F:\grainvision-ai\ml\dataset\processed\train\Arborio\Arborio (12781).jpg
Arborio (4572).jpg,Arborio,train,250,250,JPEG,3532,F:\grainvision-ai\ml\dataset\raw\Arborio\Arborio (4572).jpg,F:\grainvision-ai\ml\dataset\processed\train\Arborio\Arborio (4572).jpg
Arborio (7739).jpg,Arborio,train,250,250,JPEG,3665,F:\grainvision-ai\ml\dataset\raw\Arborio\Arborio (7739).jpg,F:\grainvision-ai\ml\dataset\processed\train\Arborio\Arborio (7739).jpg
Arborio (13479).jpg,Arborio,train,250,250,JPEG,3524,F:\grainvision-ai\ml\dataset\raw\Arborio\Arborio (13479).jpg,F:\grainvision-ai\ml\dataset\processed\train\Arborio\Arborio (13479).jpg
Arborio (8320).jpg,Arborio,train,250,250,JPEG,3445,F:\grainvision-ai\ml\dataset\raw\Arborio\Arborio (8320).jpg,F:\grainvision-ai\ml\dataset\processed\train\Arborio\Arborio (8320).jpg
Arborio (6515).jpg,Arborio,train,250,250,JPEG,3413,F:\grainvision-ai\ml\dataset\raw\Arborio\Arborio (6515).jpg,F:\grainvision-ai\ml\dataset\processed\train\Arborio\Arborio (6515).jpg
Arborio (12731).jpg,Arborio,train,250,250,JPEG,3225,F:\grainvision-ai\ml\dataset\raw\Arborio\Arborio (12731).jpg,F:\grainvision-ai\ml\dataset\processed\train\Arborio\Arborio (12731).jpg
Arborio (7769).jpg,Arborio,train,250,250,JPEG,3553,F:\grainvision-ai\ml\dataset\raw\Arborio\Arborio (7769).jpg,F:\grainvision-ai\ml\dataset\processed\train\Arborio\Arborio (7769).jpg
Arborio (7903).jpg,Arborio,train,250,250,JPEG,3233,F:\grainvision-ai\ml\dataset\raw\Arborio\Arborio (7903).jpg,F:\grainvision-ai\ml\dataset\processed\train\Arborio\Arborio (7903).jpg
Arborio (11139).jpg,Arborio,train,250,250,JPEG,3253,F:\grainvision-ai\ml\dataset\raw\Arborio\Arborio (11139).jpg,F:\grainvision-ai\ml\dataset\processed\train\Arborio\Arborio (11139).jpg
Arborio (2654).jpg,Arborio,train,250,250,JPEG,3452,F:\grainvision-ai\ml\dataset\raw\Arborio\Arborio (2654).jpg,F:\grainvision-ai\ml\dataset\processed\train\Arborio\Arborio (2654).jpg
Arborio (6406).jpg,Arborio,train,250,250,JPEG,3304,F:\grainvision-ai\ml\dataset\raw\Arborio\Arborio (6406).jpg,F:\grainvision-ai\ml\dataset\processed\train\Arborio\Arborio (6406).jpg
Arborio (3545).jpg,Arborio,train,250,250,JPEG,3518,F:\grainvision-ai\ml\dataset\raw\Arborio\Arborio (3545).jpg,F:\grainvision-ai\ml\dataset\processed\train\Arborio\Arborio (3545).jpg
Arborio (1318).jpg,Arborio,train,250,250,JPEG,3701,F:\grainvision-ai\ml\dataset\raw\Arborio\Arborio (1318).jpg,F:\grainvision-ai\ml\dataset\processed\train\Arborio\Arborio (1318).jpg
Arborio (7709).jpg,Arborio,train,250,250,JPEG,3278,F:\grainvision-ai\ml\dataset\raw\Arborio\Arborio (7709).jpg,F:\grainvision-ai\ml\dataset\processed\train\Arborio\Arborio (7709).jpg
Arborio (103).jpg,Arborio,train,250,250,JPEG,3694,F:\grainvision-ai\ml\dataset\raw\Arborio\Arborio (103).jpg,F:\grainvision-ai\ml\dataset\processed\train\Arborio\Arborio (103).jpg
Arborio (1890).jpg,Arborio,train,250,250,JPEG,3420,F:\grainvision-ai\ml\dataset\raw\Arborio\Arborio (1890).jpg,F:\grainvision-ai\ml\dataset\processed\train\Arborio\Arborio (1890).jpg
Arborio (8503).jpg,Arborio,train,250,250,JPEG,3392,F:\grainvision-ai\ml\dataset\raw\Arborio\Arborio (8503).jpg,F:\grainvision-ai\ml\dataset\processed\train\Arborio\Arborio (8503).jpg
Arborio (8137).jpg,Arborio,train,250,250,JPEG,3500,F:\grainvision-ai\ml\dataset\raw\Arborio\Arborio (8137).jpg,F:\grainvision-ai\ml\dataset\processed\train\Arborio\Arborio (8137).jpg
Arborio (5455).jpg,Arborio,train,250,250,JPEG,3220,F:\grainvision-ai\ml\dataset\raw\Arborio\Arborio (5455).jpg,F:\grainvision-ai\ml\dataset\processed\train\Arborio\Arborio (5455).jpg
Arborio (7341).jpg,Arborio,train,250,250,JPEG,3541,F:\grainvision-ai\ml\dataset\raw\Arborio\Arborio (7341).jpg,F:\grainvision-ai\ml\dataset\processed\train\Arborio\Arborio (7341).jpg
Arborio (2496).jpg,Arborio,train,250,250,JPEG,3535,F:\grainvision-ai\ml\dataset\raw\Arborio\Arborio (2496).jpg,F:\grainvision-ai\ml\dataset\processed\train\Arborio\Arborio (2496).jpg
Arborio (9006).jpg,Arborio,train,250,250,JPEG,3594,F:\grainvision-ai\ml\dataset\raw\Arborio\Arborio (9006).jpg,F:\grainvision-ai\ml\dataset\processed\train\Arborio\Arborio (9006).jpg
Arborio (7376).jpg,Arborio,train,250,250,JPEG,3309,F:\grainvision-ai\ml\dataset\raw\Arborio\Arborio (7376).jpg,F:\grainvision-ai\ml\dataset\processed\train\Arborio\Arborio (7376).jpg
Arborio (4562).jpg,Arborio,train,250,250,JPEG,3185,F:\grainvision-ai\ml\dataset\raw\Arborio\Arborio (4562).jpg,F:\grainvision-ai\ml\dataset\processed\train\Arborio\Arborio (4562).jpg
Arborio (10922).jpg,Arborio,train,250,250,JPEG,3528,F:\grainvision-ai\ml\dataset\raw\Arborio\Arborio (10922).jpg,F:\grainvision-ai\ml\dataset\processed\train\Arborio\Arborio (10922).jpg
